"Feature","PathCR.0.n","PathCR.0.mn","PathCR.1.n","PathCR.1.mn","PathCR.0.vs.PathCR.1","p.adj"
"Acinetobacter_junii","9","0.175555555555556","3","0.486666666666667",1,NA
"Actinomyces_lingnae","9","0.0377777777777778","3","0",0.148053869695124,0.585718662625337
"Actinomyces_odontolyticus","9","0.271111111111111","3","0",0.0927619452417809,0.585718662625337
"Adlercreutzia_equolifaciens","9","0.115555555555556","3","0.0133333333333333",0.677408232105349,0.888810581634915
"Akkermansia_muciniphila","9","0.16","3","0.0533333333333333",0.836646739521369,0.891923645718655
"Aquabacterium_citratiphilum.Aquabacterium_commune.Rivibacter_subsaxonicus","9","0.162222222222222","3","0.0266666666666667",0.488825222849476,0.888810581634915
"Bacteroides_caccae","9","0.122222222222222","3","0.766666666666667",0.114343497958072,0.585718662625337
"Bacteroides_dorei","9","0.555555555555556","3","0.12",0.69922527803314,0.888810581634915
"Bacteroides_massiliensis","9","0.306666666666667","3","0.433333333333333",0.767186996473559,0.889047140074382
"Bacteroides_ovatus","9","0.304444444444444","3","1.01333333333333",0.409520191703627,0.888810581634915
"Bacteroides_thetaiotaomicron","9","0.144444444444444","3","0.173333333333333",0.843537264876693,0.891923645718655
"Bacteroides_uniformis","9","1.22888888888889","3","1.06",0.78038582295418,0.889047140074382
"Bacteroides_vulgatus","9","0.7","3","1.16",0.45875609488554,0.888810581634915
"Bacteroides_xylanisolvens","9","0.326666666666667","3","0.226666666666667",0.921388003799542,0.926082320479522
"Blautia_hansenii","9","0.24","3","0.4",1,NA
"Blautia_luti","9","1.91555555555556","3","2.84666666666667",0.456376199295998,0.888810581634915
"Bradyrhizobium_elkanii","9","1.42888888888889","3","0.0133333333333333",0.179571161363962,0.598570537879873
"Burkholderia_ambifaria.Burkholderia_anthina.Burkholderia_arboris.Burkholderia_cenocepacia.Burkholderia_cepacia.Burkholderia_contaminans.Burkholderia_diffusa.Burkholderia_multivorans.Burkholderia_plantarii.Burkholderia_pyrrocinia.Burkholderia_vietnamiensis","9","0.22","3","0.166666666666667",0.925952213956675,0.926082320479522
"Clostridium_bartlettii","9","0.364444444444444","3","1.42666666666667",0.0844325328324443,0.585718662625337
"Clostridium_bolteae.Clostridium_clostridioforme","9","0.08","3","0.22",1,NA
"Clostridium_clostridioforme","9","0.317777777777778","3","0.0933333333333334",0.680068877358518,0.888810581634915
"Clostridium_hathewayi","9","0.06","3","0.16",1,NA
"Clostridium_lavalense","9","0.0466666666666667","3","0.00666666666666667",0.605445426043201,0.888810581634915
"Clostridium_ramosum","9","0.62","3","1.25333333333333",0.851762062014088,0.891923645718655
"Clostridium_spiroforme","9","0.0977777777777778","3","0.0466666666666667",0.692451353592835,0.888810581634915
"Collinsella_aerofaciens","9","0.108888888888889","3","2.18666666666667",0.0437049430500851,0.585718662625337
"Coprobacillus_cateniformis","9","0.06","3","0.0866666666666667",1,NA
"Dialister_invisus","9","0.224444444444444","3","0.133333333333333",0.469544777382833,0.888810581634915
"Eggerthella_lenta","9","0.135555555555556","3","0.273333333333333",0.179571161363962,0.598570537879873
"Enterobacter_asburiae.Enterobacter_cancerogenus.Enterobacter_hormaechei.Shigella_flexneri","9","0.0288888888888889","3","0.7",0.148938233384195,0.585718662625337
"Enterococcus_faecalis","9","0.326666666666667","3","3.16",0.552983156244374,0.888810581634915
"Escherichia_coli","9","0.211111111111111","3","1.09333333333333",0.277682470004085,0.757315827283868
"Faecalibacterium_prausnitzii","9","3.37333333333333","3","2.19333333333333",0.576420822910323,0.888810581634915
"Flavonifractor_plautii","9","0.104444444444444","3","0.02",0.631073396532381,0.888810581634915
"Fusicatenibacter_saccharivorans","9","0.555555555555556","3","0.593333333333333",0.149683658226475,0.585718662625337
"Gemella_haemolysans","9","1.27111111111111","3","0.02",0.323713862074895,0.809284655187237
"Granulicatella_adiacens.Granulicatella_paraadiacens","9","0.255555555555556","3","0.08",0.621014370661285,0.888810581634915
"Haemophilus_parainfluenzae","9","0.208888888888889","3","0",0.148938233384195,0.585718662625337
"Imtechium_assamiensis","9","0.108888888888889","3","0.173333333333333",0.847957443439612,0.891923645718655
"Klebsiella_granulomatis.Klebsiella_pneumoniae.Klebsiella_variicola","9","0.228888888888889","3","0.06",0.680068877358518,0.888810581634915
"Lactobacillus_pentosus.Lactobacillus_plantarum","9","0.393333333333333","3","0.58",1,NA
"Parabacteroides_distasonis","9","1.39111111111111","3","0.36",0.456376199295998,0.888810581634915
"Parabacteroides_merdae","9","0.0577777777777778","3","0.12",0.488825222849476,0.888810581634915
"Pelomonas_puraquae","9","1.90222222222222","3","1.71333333333333",0.711048465307932,0.888810581634915
"Pelomonas_saccharophila","9","0.391111111111111","3","0.14",0.565172486044795,0.888810581634915
"Phascolarctobacterium_faecium","9","0.251111111111111","3","0.0733333333333333",0.756597916312173,0.889047140074382
"Prevotella_melaninogenica","9","0.446666666666667","3","0",0.148938233384195,0.585718662625337
"Propionibacterium_acnes","9","1.84222222222222","3","0.526666666666667",0.575743100467251,0.888810581634915
"Ralstonia_detusculanense.Ralstonia_pickettii","9","0.424444444444444","3","0.946666666666667",0.926082320479522,0.926082320479522
"Roseburia_intestinalis","9","0.0488888888888889","3","0.14",0.301523729109571,0.798151047642982
"Rothia_mucilaginosa","9","0.375555555555556","3","0",0.0927619452417809,0.585718662625337
"Ruminococcus_bromii","9","2.20666666666667","3","1.26666666666667",0.621710652363958,0.888810581634915
"Sphingomonas_echinoides.Sphingomonas_rhizogenes","9","1.02888888888889","3","0",0.148938233384195,0.585718662625337
