"Feature","PathCR.0.n","PathCR.0.mn","PathCR.1.n","PathCR.1.mn","PathCR.0.vs.PathCR.1","p.adj"
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae.g_Anaerotruncus","9","0.224444444444444","3","0.406666666666667",0.184445264840113,0.885719597580374
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae.g_Butyricicoccus","9","0.0422222222222222","3","0.14",1,NA
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae.g_Clostridium_III","9","0.371111111111111","3","0.213333333333333",0.409520191703627,0.885719597580374
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae.g_Faecalibacterium","9","4.45555555555555","3","2.34666666666667",0.709584935745479,0.885719597580374
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae.g_Flavonifractor","9","0.315555555555556","3","0.44",0.711048465307932,0.885719597580374
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae.g_Oscillibacter","9","0.722222222222222","3","0.233333333333333",1,NA
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae.g_Ruminococcus","9","2.62666666666667","3","2.16666666666667",1,NA
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_Ruminococcaceae.g_unassigned","9","1.84222222222222","3","1.12",0.926082320479522,0.926211743590331
"p_Firmicutes.c_Clostridia.o_Clostridiales.f_unassigned.g_unassigned","9","1.94444444444444","3","1.82666666666667",0.711048465307932,0.885719597580374
"p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales.f_Erysipelotrichaceae.g_Clostridium_XVIII","9","1.13777777777778","3","1.34",0.727272727272727,0.885719597580374
"p_Firmicutes.c_Erysipelotrichia.o_Erysipelotrichales.f_Erysipelotrichaceae.g_Coprobacillus","9","0.151111111111111","3","0.16",1,NA
"p_Firmicutes.c_Negativicutes.o_Selenomonadales.f_Acidaminococcaceae.g_Phascolarctobacterium","9","0.251111111111111","3","0.0733333333333333",0.756597916312173,0.885719597580374
"p_Firmicutes.c_Negativicutes.o_Selenomonadales.f_Veillonellaceae.g_Dialister","9","0.306666666666667","3","0.133333333333333",0.921388003799542,0.926211743590331
"p_Firmicutes.c_Negativicutes.o_Selenomonadales.f_Veillonellaceae.g_Megasphaera","9","0.235555555555556","3","0.00666666666666667",0.536210402726447,0.885719597580374
"p_Firmicutes.c_Negativicutes.o_Selenomonadales.f_Veillonellaceae.g_Veillonella","9","1.04888888888889","3","0",0.0304237841484627,0.649333616692466
"p_Firmicutes.c_unassigned.o_unassigned.f_unassigned.g_unassigned","9","0.884444444444444","3","0.0133333333333333",0.488825222849476,0.885719597580374
"p_Proteobacteria.c_Alphaproteobacteria.o_Caulobacterales.f_Caulobacteraceae.g_Brevundimonas","9","0.106666666666667","3","0",0.148938233384195,0.781925725267024
"p_Proteobacteria.c_Alphaproteobacteria.o_Rhizobiales.f_Bradyrhizobiaceae.g_Bradyrhizobium","9","1.54222222222222","3","0.0133333333333333",0.0896860217703646,0.649333616692466
